Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
ORD,"Chicago, IL: Chicago O'Hare International",7,2003,961,1728,4305,258,1258,22693,31345,75266,137519,314331,551568,24251
PDX,"Portland, OR: Portland International",7,2003,224,332,126,26,25,4273,5016,10823,19298,4604,36851,1946
PHL,"Philadelphia, PA: Philadelphia International",7,2003,399,634,1130,93,198,6876,9352,19469,41424,52527,121153,7718
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",7,2003,593,743,498,66,96,12378,14410,35809,46071,18713,105513,4739
SAN,"San Diego, CA: San Diego International",7,2003,381,386,340,44,34,5974,7177,17465,21781,12051,54624,3244
SEA,"Seattle, WA: Seattle/Tacoma International",7,2003,506,637,421,67,82,8251,9992,25125,37050,15618,83220,4796
SFO,"San Francisco, CA: San Francisco International",7,2003,473,365,539,76,79,9192,10743,24613,24504,23592,79460,6490
SLC,"Salt Lake City, UT: Salt Lake City International",7,2003,404,284,330,65,58,9782,10944,20318,16143,11910,52635,3979
TPA,"Tampa, FL: Tampa International",7,2003,248,395,445,44,18,4452,5614,12661,26212,18532,60777,3299
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",8,2003,1220,1766,4475,361,364,23056,31305,77042,108114,163912,370130,20758
BOS,"Boston, MA: Logan International",8,2003,481,698,978,100,292,7370,9933,28571,49297,42254,127494,7368
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,2003,396,668,734,127,66,6598,8636,19817,41456,36608,107756,9696
CLT,"Charlotte, NC: Charlotte Douglas International",8,2003,349,511,928,90,189,6841,8948,17440,30964,38430,93619,6669
DCA,"Washington, DC: Ronald Reagan Washington National",8,2003,338,327,795,89,262,4886,6743,17512,23603,42353,90097,6516
DEN,"Denver, CO: Denver International",8,2003,544,362,560,111,79,11122,12792,30247,25493,23385,87032,7830
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8,2003,1178,1350,2138,269,466,22370,27956,77082,80115,106597,286661,22341
DTW,"Detroit, MI: Detroit Metro Wayne County",8,2003,459,442,1034,155,412,9620,12180,29306,27485,46410,116543,13049
EWR,"Newark, NJ: Newark Liberty International",8,2003,488,713,2528,144,431,8599,13022,36683,56753,180746,289106,14747
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",8,2003,279,396,489,46,36,3555,4825,15853,25824,18216,63559,3332
IAD,"Washington, DC: Washington Dulles International",8,2003,378,447,849,129,190,6715,8758,21505,30744,43185,106819,11090
IAH,"Houston, TX: George Bush Intercontinental/Houston",8,2003,425,587,1132,144,104,13522,15985,26927,38093,48296,125085,11586
JFK,"New York, NY: John F. Kennedy International",8,2003,403,380,856,64,205,4239,6227,28257,29338,42732,105234,4506
LAS,"Las Vegas, NV: McCarran International",8,2003,576,747,480,75,70,10293,12257,34285,38636,17699,97026,6175
LAX,"Los Angeles, CA: Los Angeles International",8,2003,796,761,622,139,141,16770,19253,47486,46658,26226,131186,10480
LGA,"New York, NY: LaGuardia",8,2003,419,500,1421,125,597,6158,9302,26770,38198,102604,180002,12415
MCO,"Orlando, FL: Orlando International",8,2003,450,584,757,82,48,6032,7988,25260,38574,31786,101540,5466
MDW,"Chicago, IL: Chicago Midway International",8,2003,205,446,414,72,77,6035,7277,10853,28232,21868,68622,7091
MIA,"Miami, FL: Miami International",8,2003,293,314,696,70,97,3663,5158,18544,24339,30059,78097,4849
MSP,"Minneapolis, MN: Minneapolis-St Paul International",8,2003,533,438,639,104,182,10975,12887,36711,26224,22843,93346,7274
ORD,"Chicago, IL: Chicago O'Hare International",8,2003,1017,1512,3461,237,941,23806,31121,77366,109807,237540,447656,22513
PDX,"Portland, OR: Portland International",8,2003,194,336,128,29,26,4249,4972,9713,18118,4683,34824,2162
PHL,"Philadelphia, PA: Philadelphia International",8,2003,442,695,1317,132,242,6527,9390,22519,44213,65862,143224,10630
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",8,2003,607,719,509,87,117,12284,14357,35681,39053,17893,99568,6101
