Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
MCO,"Orlando, FL: Orlando International",6,2005,668,855,804,90,33,7125,9617,37389,62326,32485,139123,6735
MDW,"Chicago, IL: Chicago Midway International",6,2005,304,674,410,86,47,6490,8031,14584,41243,18972,80749,5772
MIA,"Miami, FL: Miami International",6,2005,424,451,704,77,58,3658,5436,29588,34109,29577,97981,4610
MSP,"Minneapolis, MN: Minneapolis-St Paul International",6,2005,752,817,1163,162,113,9257,12324,49037,51792,44227,158580,13405
ORD,"Chicago, IL: Chicago O'Hare International",6,2005,1374,2329,3726,210,640,19420,27756,92424,165364,205599,480472,16946
PDX,"Portland, OR: Portland International",6,2005,418,522,289,26,22,3432,4715,19899,28648,9544,60292,2109
PHL,"Philadelphia, PA: Philadelphia International",6,2005,573,930,1634,180,329,7116,10838,29078,67853,116324,235193,21911
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6,2005,743,1086,735,61,102,11802,14546,37678,55413,24315,122072,4368
SAN,"San Diego, CA: San Diego International",6,2005,573,604,440,43,47,5859,7574,26938,32680,15883,78675,2974
SEA,"Seattle, WA: Seattle/Tacoma International",6,2005,1034,1342,756,61,156,6090,9476,56693,91740,28946,182027,4219
SFO,"San Francisco, CA: San Francisco International",6,2005,876,737,1288,71,113,7992,11089,48831,47574,56454,158460,5393
SLC,"Salt Lake City, UT: Salt Lake City International",6,2005,788,642,670,95,156,11491,13860,37008,31149,24521,98063,5223
TPA,"Tampa, FL: Tampa International",6,2005,436,561,506,59,24,4809,6427,21359,37182,20337,83091,3956
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7,2005,1961,2557,8704,466,1793,21758,37584,156293,219063,574857,989367,38476
BOS,"Boston, MA: Logan International",7,2005,643,974,1472,180,330,7298,10904,38121,74731,79241,205664,13484
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,2005,543,1083,820,136,109,6469,9194,27803,74562,50055,164713,11898
CLT,"Charlotte, NC: Charlotte Douglas International",7,2005,758,867,953,121,195,7276,10199,38235,61007,43082,151589,9184
DCA,"Washington, DC: Ronald Reagan Washington National",7,2005,580,771,984,135,304,6222,9031,30771,58159,53500,153552,10992
DEN,"Denver, CO: Denver International",7,2005,1195,1141,863,121,178,14453,17989,67702,78077,32694,187112,8515
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,2005,1439,3009,2712,565,576,18923,27399,106995,223010,137958,506794,38402
DTW,"Detroit, MI: Detroit Metro Wayne County",7,2005,776,924,1127,252,409,8683,12222,54683,61429,51639,194113,26091
EWR,"Newark, NJ: Newark Liberty International",7,2005,541,1234,3446,171,653,7355,13492,38412,108958,269793,432846,15359
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",7,2005,529,696,521,74,36,3910,5783,26618,48517,22697,103545,5221
IAD,"Washington, DC: Washington Dulles International",7,2005,442,1170,1548,79,349,7536,11152,27971,97189,86274,218403,6752
IAH,"Houston, TX: George Bush Intercontinental/Houston",7,2005,802,1584,1715,160,367,13819,18665,55330,114226,83147,267180,14131
JFK,"New York, NY: John F. Kennedy International",7,2005,548,1165,1868,144,162,5238,9185,36156,80765,100376,230911,13054
LAS,"Las Vegas, NV: McCarran International",7,2005,939,1545,801,116,101,10789,14335,48702,89052,33877,181926,9923
LAX,"Los Angeles, CA: Los Angeles International",7,2005,1365,1443,942,149,218,16038,20174,72900,94549,37347,214776,9620
LGA,"New York, NY: LaGuardia",7,2005,530,740,2138,195,533,6573,10798,31022,56370,162478,265977,16033
MCO,"Orlando, FL: Orlando International",7,2005,794,1043,837,123,50,7324,10202,44349,79746,34382,167065,8237
MDW,"Chicago, IL: Chicago Midway International",7,2005,404,879,520,117,59,6437,8454,20002,63120,30603,125435,11285
MIA,"Miami, FL: Miami International",7,2005,471,492,588,85,59,4000,5704,31237,36885,24412,98749,6137
MSP,"Minneapolis, MN: Minneapolis-St Paul International",7,2005,836,992,983,178,206,9677,12907,53259,63447,38715,169120,13494
ORD,"Chicago, IL: Chicago O'Hare International",7,2005,1631,2241,3547,213,920,19623,28283,121159,181764,237346,557902,17190
PDX,"Portland, OR: Portland International",7,2005,428,501,222,31,20,3769,4976,24140,29755,8339,64313,1992
PHL,"Philadelphia, PA: Philadelphia International",7,2005,687,1167,1875,225,331,6579,10924,39753,98616,133614,294339,22155
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",7,2005,876,1254,686,85,157,11748,14848,48151,71016,24872,150183,5521
SAN,"San Diego, CA: San Diego International",7,2005,664,675,359,70,46,6030,7862,33005,39105,14402,91481,4912
SEA,"Seattle, WA: Seattle/Tacoma International",7,2005,1140,1182,659,79,56,6914,10066,59866,73066,24952,163944,5626
SFO,"San Francisco, CA: San Francisco International",7,2005,896,723,826,93,123,8900,11579,49421,50665,39209,146341,6918
SLC,"Salt Lake City, UT: Salt Lake City International",7,2005,809,733,606,101,119,12090,14472,39224,38201,22061,106114,6457
TPA,"Tampa, FL: Tampa International",7,2005,582,759,568,76,59,4643,6703,31791,54191,24730,116868,5816
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",8,2005,1916,2113,8440,381,1840,22949,37886,140274,154147,487160,810633,28593
BOS,"Boston, MA: Logan International",8,2005,582,688,1643,158,316,7571,10990,35782,49337,97720,196963,13768
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,2005,530,908,474,94,87,7100,9213,27745,53384,19907,107212,5973
CLT,"Charlotte, NC: Charlotte Douglas International",8,2005,535,585,725,77,191,8053,10192,26132,35942,27010,94313,5170
DCA,"Washington, DC: Ronald Reagan Washington National",8,2005,524,489,570,90,251,7265,9200,25542,28869,21244,82169,6460
DEN,"Denver, CO: Denver International",8,2005,1013,788,753,120,151,14968,17827,50588,44658,27912,131957,8388
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8,2005,1205,2313,2199,309,690,20474,27451,87245,147884,98464,356038,22079
DTW,"Detroit, MI: Detroit Metro Wayne County",8,2005,779,957,810,102,358,8873,11896,52528,57401,26709,143734,6748
EWR,"Newark, NJ: Newark Liberty International",8,2005,555,1116,2597,106,418,8989,13850,34245,76220,165398,283714,7036
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",8,2005,386,485,459,60,164,4107,5674,18806,31120,17987,73004,4929
IAD,"Washington, DC: Washington Dulles International",8,2005,393,763,922,54,277,8644,11064,21463,52261,33574,111064,3582
IAH,"Houston, TX: George Bush Intercontinental/Houston",8,2005,622,1129,1697,127,322,14645,18664,38640,73065,76789,198462,9164
JFK,"New York, NY: John F. Kennedy International",8,2005,514,801,1213,147,129,6365,9251,29392,46717,49607,136155,9946
LAS,"Las Vegas, NV: McCarran International",8,2005,910,1293,917,98,94,11173,14514,44622,63751,38774,155329,7804
LAX,"Los Angeles, CA: Los Angeles International",8,2005,1364,1155,919,132,202,16484,20290,66665,64300,32631,173224,8555
LGA,"New York, NY: LaGuardia",8,2005,550,626,1757,153,411,7474,11036,30575,38789,90115,169261,9656
MCO,"Orlando, FL: Orlando International",8,2005,668,768,753,80,106,7584,10000,35804,48963,29910,120404,5474
MDW,"Chicago, IL: Chicago Midway International",8,2005,345,661,312,56,61,7170,8621,16294,36552,12049,69092,3988
MIA,"Miami, FL: Miami International",8,2005,363,381,583,75,250,3970,5643,21360,24760,23715,74994,4885
MSP,"Minneapolis, MN: Minneapolis-St Paul International",8,2005,836,1036,1068,109,306,9020,12454,58799,68868,40108,177245,9031
ORD,"Chicago, IL: Chicago O'Hare International",8,2005,1273,1663,2422,163,507,22585,28662,76496,100348,120036,308603,11190
PDX,"Portland, OR: Portland International",8,2005,352,456,204,24,16,3932,4992,16786,23868,7293,49590,1447
PHL,"Philadelphia, PA: Philadelphia International",8,2005,614,861,950,116,224,8194,11005,31415,57737,47319,144908,8081
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",8,2005,809,1087,701,79,136,12110,14991,43443,53173,24177,126870,5408
SAN,"San Diego, CA: San Diego International",8,2005,611,571,388,49,43,6254,7946,27822,27741,13411,72704,3384
SEA,"Seattle, WA: Seattle/Tacoma International",8,2005,920,982,541,54,54,7365,9955,47617,63107,18552,133721,4089
SFO,"San Francisco, CA: San Francisco International",8,2005,797,683,1078,69,126,8823,11598,41615,41956,51040,139683,4717
SLC,"Salt Lake City, UT: Salt Lake City International",8,2005,822,684,602,82,123,12294,14630,39182,33107,19181,97444,5536
TPA,"Tampa, FL: Tampa International",8,2005,437,564,487,60,114,4938,6619,21240,36974,18043,80750,4354
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",9,2005,1247,977,2374,127,1222,27664,33631,84909,48728,76158,216147,6153
BOS,"Boston, MA: Logan International",9,2005,414,457,1515,99,154,7546,10195,25062,29793,84452,147759,8314
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,2005,322,469,177,35,86,7493,8594,14288,22180,6745,45637,2388
CLT,"Charlotte, NC: Charlotte Douglas International",9,2005,276,284,431,30,153,7984,9164,12805,15772,13512,43661,1563
DCA,"Washington, DC: Ronald Reagan Washington National",9,2005,302,293,377,53,149,7172,8357,15629,16848,13111,49904,4281
DEN,"Denver, CO: Denver International",9,2005,611,461,515,42,141,14519,16297,33657,24519,15970,77057,2736
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9,2005,716,1118,1097,123,446,21704,25290,48145,60298,42359,160356,9438
DTW,"Detroit, MI: Detroit Metro Wayne County",9,2005,537,549,566,92,176,8645,10584,41650,31684,19326,100069,7278
EWR,"Newark, NJ: Newark Liberty International",9,2005,353,588,2302,98,191,8784,12358,20088,35585,128287,189585,5507
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9,2005,228,184,213,16,100,4105,4859,9848,9508,6722,27267,1180
IAD,"Washington, DC: Washington Dulles International",9,2005,231,357,527,19,90,8170,9398,12036,21710,15985,51294,1552
IAH,"Houston, TX: George Bush Intercontinental/Houston",9,2005,439,518,947,29,1664,12969,16608,26341,22871,25099,76366,1713
JFK,"New York, NY: John F. Kennedy International",9,2005,323,328,972,82,105,6556,8384,17897,19213,44324,86804,5172
LAS,"Las Vegas, NV: McCarran International",9,2005,648,947,970,39,99,11242,13961,29684,39197,29049,101230,3149
LAX,"Los Angeles, CA: Los Angeles International",9,2005,1054,803,1236,62,215,15635,19029,45410,38236,38229,125843,3548
LGA,"New York, NY: LaGuardia",9,2005,388,375,1306,90,220,7981,10377,19326,21258,57756,103500,5160
MCO,"Orlando, FL: Orlando International",9,2005,398,323,355,44,77,7642,8844,19960,16225,11729,50289,2357
MDW,"Chicago, IL: Chicago Midway International",9,2005,253,419,238,24,50,6993,7982,10888,20056,8108,41001,1886
MIA,"Miami, FL: Miami International",9,2005,279,172,385,49,192,3997,5074,16138,10748,13806,43268,2563
MSP,"Minneapolis, MN: Minneapolis-St Paul International",9,2005,642,530,907,75,137,8587,10934,41224,28307,27932,102350,4738
ORD,"Chicago, IL: Chicago O'Hare International",9,2005,830,1262,2500,119,480,22257,27474,53005,77123,129495,268869,9102
PDX,"Portland, OR: Portland International",9,2005,267,293,131,12,28,3942,4676,12319,13829,4339,31080,551
PHL,"Philadelphia, PA: Philadelphia International",9,2005,326,426,716,65,148,8207,9887,15940,23745,31076,74637,3827
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",9,2005,560,744,584,38,178,12098,14211,29813,32410,16620,80788,1610
SAN,"San Diego, CA: San Diego International",9,2005,414,419,420,31,67,6097,7451,16878,17110,12249,47963,1607
SEA,"Seattle, WA: Seattle/Tacoma International",9,2005,549,609,474,24,66,7416,9147,28094,31373,14635,75600,1375
SFO,"San Francisco, CA: San Francisco International",9,2005,660,417,1084,42,95,8451,10765,31232,23699,45912,103135,2031
SLC,"Salt Lake City, UT: Salt Lake City International",9,2005,613,432,550,41,170,11886,13720,29844,16681,16287,65728,2775
TPA,"Tampa, FL: Tampa International",9,2005,294,249,220,25,80,5061,5933,14023,12105,7367,34814,1281
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10,2005,1288,1402,4520,276,957,26812,35282,84911,82014,204257,388718,17084
BOS,"Boston, MA: Logan International",10,2005,453,586,1702,104,367,7171,10398,23914,39633,98883,171457,8743
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10,2005,389,703,305,27,121,7470,9022,15735,36172,9679,63314,1587
CLT,"Charlotte, NC: Charlotte Douglas International",10,2005,407,434,577,39,152,7611,9222,17621,22730,16384,58800,2042
DCA,"Washington, DC: Ronald Reagan Washington National",10,2005,382,375,498,55,217,7172,8734,17103,20435,23227,65122,4183
DEN,"Denver, CO: Denver International",10,2005,706,590,526,51,204,14412,16498,36179,41825,17897,100663,4676
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10,2005,676,1195,997,109,366,22257,25653,41107,75072,37973,164098,9909
DTW,"Detroit, MI: Detroit Metro Wayne County",10,2005,535,498,540,91,165,8699,10542,42258,27251,16055,92013,6324
EWR,"Newark, NJ: Newark Liberty International",10,2005,386,720,3996,175,644,7429,13405,26740,51940,310562,406537,17090
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10,2005,234,309,318,9,682,3844,5413,10121,19719,12094,42688,454
IAD,"Washington, DC: Washington Dulles International",10,2005,317,479,635,16,125,7688,9262,17936,29914,19606,68703,1182
IAH,"Houston, TX: George Bush Intercontinental/Houston",10,2005,462,604,1094,40,188,15170,17610,29179,32471,36945,102916,4071
JFK,"New York, NY: John F. Kennedy International",10,2005,376,453,1217,109,193,6262,8633,18302,24346,57766,107822,7059
LAS,"Las Vegas, NV: McCarran International",10,2005,623,1168,1247,107,142,11285,14591,30248,58099,60549,158003,8952
LAX,"Los Angeles, CA: Los Angeles International",10,2005,1056,1041,786,66,238,16199,19410,43681,52700,24109,125206,4444
LGA,"New York, NY: LaGuardia",10,2005,339,394,2329,172,515,6913,10695,19462,26373,129727,186653,10885
MCO,"Orlando, FL: Orlando International",10,2005,560,553,789,32,111,7755,9814,25043,33307,22317,83061,1965
MDW,"Chicago, IL: Chicago Midway International",10,2005,297,558,233,26,88,7068,8275,12120,27821,8851,51506,2620
MIA,"Miami, FL: Miami International",10,2005,302,221,548,25,565,3668,5341,18796,13700,20794,54592,1282
MSP,"Minneapolis, MN: Minneapolis-St Paul International",10,2005,529,477,561,95,114,8819,10655,31701,26722,18885,85466,7796
ORD,"Chicago, IL: Chicago O'Hare International",10,2005,985,1101,1368,79,408,25102,29083,55588,65317,61542,189068,6400
PDX,"Portland, OR: Portland International",10,2005,237,391,260,14,17,3931,4856,11027,19857,7760,40197,1493
PHL,"Philadelphia, PA: Philadelphia International",10,2005,370,559,1718,138,279,7101,10189,18472,37140,101597,169906,12528
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",10,2005,632,1002,519,24,122,12489,14804,31023,46173,15820,94927,1609
SAN,"San Diego, CA: San Diego International",10,2005,478,495,308,37,48,6267,7641,19788,21984,9451,53688,2341
SEA,"Seattle, WA: Seattle/Tacoma International",10,2005,491,557,527,12,87,7537,9220,25305,30838,16183,73680,1173
SFO,"San Francisco, CA: San Francisco International",10,2005,676,516,904,37,111,8854,11104,30973,32199,44132,109836,2453
SLC,"Salt Lake City, UT: Salt Lake City International",10,2005,570,449,372,48,150,12363,13962,25504,19691,11724,60784,3389
TPA,"Tampa, FL: Tampa International",10,2005,330,383,375,18,116,5132,6362,15399,20210,11302,48118,938
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",11,2005,1466,1260,4100,314,399,25508,33063,98262,87043,238063,447832,24257
BOS,"Boston, MA: Logan International",11,2005,482,609,1082,62,127,7839,10223,23820,35214,43301,106675,4292
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11,2005,373,621,316,35,51,7148,8553,16416,33183,11600,64042,2815
CLT,"Charlotte, NC: Charlotte Douglas International",11,2005,361,345,631,56,55,7015,8466,15578,18301,20517,58048,3652
DCA,"Washington, DC: Ronald Reagan Washington National",11,2005,382,386,546,44,97,6925,8419,19071,21233,19655,62408,2372
DEN,"Denver, CO: Denver International",11,2005,692,590,576,49,103,13299,15317,32958,29347,16547,82485,3472
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11,2005,878,1324,1417,97,140,21008,24894,57764,73221,52026,189872,6822
DTW,"Detroit, MI: Detroit Metro Wayne County",11,2005,641,600,861,81,104,7969,10262,37179,32605,28936,105569,6795
EWR,"Newark, NJ: Newark Liberty International",11,2005,359,732,3562,122,251,7796,12858,22761,47996,222076,302837,9867
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",11,2005,358,401,489,18,25,4614,5932,16098,22987,16044,56262,1057
IAD,"Washington, DC: Washington Dulles International",11,2005,261,307,435,18,60,6305,7408,15385,22699,14651,53799,1008
IAH,"Houston, TX: George Bush Intercontinental/Houston",11,2005,499,682,1332,51,68,14318,16996,33669,37095,47588,124102,5300
JFK,"New York, NY: John F. Kennedy International",11,2005,484,619,976,79,55,6199,8447,25500,31663,33112,94582,4170
LAS,"Las Vegas, NV: McCarran International",11,2005,658,876,670,24,70,11581,13898,30020,38024,19448,89049,1266
LAX,"Los Angeles, CA: Los Angeles International",11,2005,1011,881,907,74,148,15590,18617,45404,43179,27969,120624,3963
LGA,"New York, NY: LaGuardia",11,2005,380,507,2623,165,231,6384,10364,21346,32260,139141,203798,11036
MCO,"Orlando, FL: Orlando International",11,2005,547,601,714,35,27,8107,10037,23889,34292,20778,81198,2137
MDW,"Chicago, IL: Chicago Midway International",11,2005,272,483,307,45,68,6538,7725,11788,22472,11608,48922,2912
MIA,"Miami, FL: Miami International",11,2005,327,253,615,20,19,4244,5484,16780,14545,18188,50835,1204
MSP,"Minneapolis, MN: Minneapolis-St Paul International",11,2005,566,555,811,63,123,8095,10222,35243,30584,23696,94914,5296
ORD,"Chicago, IL: Chicago O'Hare International",11,2005,1096,1602,3646,118,448,21524,28453,68777,100887,206610,383760,7358
PDX,"Portland, OR: Portland International",11,2005,319,345,386,21,55,3416,4572,15283,17163,11776,45591,1167
PHL,"Philadelphia, PA: Philadelphia International",11,2005,346,453,816,57,64,7388,9131,15200,26921,34853,81706,4702
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",11,2005,581,701,449,33,112,12562,14447,32472,32054,13962,80553,1964
SAN,"San Diego, CA: San Diego International",11,2005,389,327,238,22,77,6114,7239,14844,14822,6803,38247,1766
SEA,"Seattle, WA: Seattle/Tacoma International",11,2005,599,570,851,36,83,6227,8390,29206,31378,25852,89632,3016
SFO,"San Francisco, CA: San Francisco International",11,2005,674,473,1284,56,153,7921,10584,33260,30527,63572,131876,4318
SLC,"Salt Lake City, UT: Salt Lake City International",11,2005,650,469,735,83,133,10885,12970,27832,21458,21904,75354,3855
TPA,"Tampa, FL: Tampa International",11,2005,336,406,419,21,12,5080,6285,14864,21845,12674,50743,1155
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12,2005,2144,2336,4898,509,723,22992,33632,130387,139313,255257,558590,33154
BOS,"Boston, MA: Logan International",12,2005,619,812,884,96,355,7579,10378,32872,52244,45453,139209,8420
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,2005,544,811,430,59,116,6936,8900,24473,43700,14884,86657,3535
CLT,"Charlotte, NC: Charlotte Douglas International",12,2005,513,502,776,55,109,6048,8015,22487,27793,26080,80211,3680
DCA,"Washington, DC: Ronald Reagan Washington National",12,2005,534,506,597,72,217,6483,8418,26912,27619,20344,79971,4969
DEN,"Denver, CO: Denver International",12,2005,1623,1183,1333,145,164,11933,16404,79791,73731,43131,206363,9461
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12,2005,1119,2237,2271,260,510,18952,25385,68635,119591,74949,278349,14747
DTW,"Detroit, MI: Detroit Metro Wayne County",12,2005,928,817,1118,116,140,7213,10357,56929,45399,36150,146884,8032
EWR,"Newark, NJ: Newark Liberty International",12,2005,568,1312,3174,126,351,7741,13298,37440,93123,165802,306457,9787
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",12,2005,623,592,804,57,35,4089,6228,26838,35497,27609,95012,4502
IAD,"Washington, DC: Washington Dulles International",12,2005,408,550,471,36,90,5934,7494,22572,32991,14510,72899,2706
IAH,"Houston, TX: George Bush Intercontinental/Houston",12,2005,703,1297,2118,90,239,13731,18292,42400,73151,103083,232444,13054
JFK,"New York, NY: John F. Kennedy International",12,2005,637,980,997,90,104,5397,8258,37966,65118,46190,158452,8425
LAS,"Las Vegas, NV: McCarran International",12,2005,1006,1513,1003,65,104,10443,14156,46579,73284,32798,157443,3953
LAX,"Los Angeles, CA: Los Angeles International",12,2005,1562,1487,1253,144,275,14449,19211,75450,87163,42535,215578,9867
LGA,"New York, NY: LaGuardia",12,2005,590,724,2132,194,312,6583,10590,32435,47824,103204,195614,11913
MCO,"Orlando, FL: Orlando International",12,2005,862,925,1087,72,64,7386,10421,41488,53939,37365,138378,5032
MDW,"Chicago, IL: Chicago Midway International",12,2005,393,695,584,61,219,5922,7964,16879,35376,26375,83970,5223
MIA,"Miami, FL: Miami International",12,2005,573,408,906,93,55,3779,5838,27961,24493,31970,90355,5575
MSP,"Minneapolis, MN: Minneapolis-St Paul International",12,2005,988,896,1213,119,122,7079,10452,56610,52134,39695,157196,8303
ORD,"Chicago, IL: Chicago O'Hare International",12,2005,1870,2586,4713,292,1289,18445,29229,114235,168738,303125,609512,22736
PDX,"Portland, OR: Portland International",12,2005,548,562,353,26,71,3114,4683,24953,30797,11389,69323,2057
PHL,"Philadelphia, PA: Philadelphia International",12,2005,483,608,893,94,158,6722,8971,22002,36854,42180,108110,6963
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12,2005,971,1204,784,60,198,11752,15002,45483,58048,24629,132582,3877
SAN,"San Diego, CA: San Diego International",12,2005,643,620,485,58,110,5636,7590,27572,30286,16010,77392,3242
SEA,"Seattle, WA: Seattle/Tacoma International",12,2005,969,928,857,64,104,5786,8743,47939,56745,27628,137464,4605
SFO,"San Francisco, CA: San Francisco International",12,2005,911,766,2505,119,371,6259,10972,46898,60349,194437,311645,9636
SLC,"Salt Lake City, UT: Salt Lake City International",12,2005,1022,840,584,166,159,8656,11469,42784,42255,18738,113820,9201
TPA,"Tampa, FL: Tampa International",12,2005,558,558,694,38,46,4703,6613,26387,34286,24104,88510,3301
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1,2006,1634,1506,4563,401,714,24417,33274,116197,122615,277653,548821,32153
BOS,"Boston, MA: Logan International",1,2006,531,629,1136,129,375,7679,10516,29941,44596,56495,142186,10802
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,2006,372,631,352,49,102,7336,8870,17229,34195,13562,69353,4242
CLT,"Charlotte, NC: Charlotte Douglas International",1,2006,501,546,744,67,186,7980,10047,25148,31355,23832,85478,5091
DCA,"Washington, DC: Ronald Reagan Washington National",1,2006,430,398,569,77,260,6785,8597,20473,24239,20934,71150,5479
DEN,"Denver, CO: Denver International",1,2006,1155,909,816,75,214,14790,17971,51783,57858,25430,140028,4783
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1,2006,754,1454,1287,219,182,21242,25165,53207,74763,37981,175158,8759
DTW,"Detroit, MI: Detroit Metro Wayne County",1,2006,562,502,562,93,170,8041,9950,34572,28082,16322,85008,5798
EWR,"Newark, NJ: Newark Liberty International",1,2006,340,625,2796,148,362,8304,12613,21936,46145,192530,273094,12090
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1,2006,358,433,369,39,27,4884,6123,15735,28541,12261,59760,3070
IAD,"Washington, DC: Washington Dulles International",1,2006,439,577,395,46,237,5195,6917,27700,43858,15582,91215,3871
IAH,"Houston, TX: George Bush Intercontinental/Houston",1,2006,505,797,1340,93,94,14561,17526,32904,46139,48070,134377,7101
JFK,"New York, NY: John F. Kennedy International",1,2006,555,669,990,88,106,5781,8238,31597,40211,46852,126282,7229
LAS,"Las Vegas, NV: McCarran International",1,2006,778,1050,896,85,115,12039,14976,35476,55394,32948,131307,7280
LAX,"Los Angeles, CA: Los Angeles International",1,2006,1234,1010,1031,111,279,15392,19086,58128,58651,34119,158029,6908
LGA,"New York, NY: LaGuardia",1,2006,414,542,2217,178,446,7027,10857,22129,41178,122821,197850,11647
MCO,"Orlando, FL: Orlando International",1,2006,551,629,509,53,70,8248,10095,26675,38896,17234,86298,3382
MDW,"Chicago, IL: Chicago Midway International",1,2006,301,497,317,50,121,6926,8230,13658,26904,11796,55679,3266
MIA,"Miami, FL: Miami International",1,2006,347,339,526,50,35,4622,5928,20226,23986,16144,63793,3352
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1,2006,595,401,558,74,95,8144,9890,36313,22447,16741,80896,5134
ORD,"Chicago, IL: Chicago O'Hare International",1,2006,1308,1849,3820,188,1084,22461,30828,80222,133127,211851,441216,15707
PDX,"Portland, OR: Portland International",1,2006,346,326,300,19,35,3519,4549,14719,17448,9423,42972,1327
PHL,"Philadelphia, PA: Philadelphia International",1,2006,374,489,1386,144,234,6459,9142,18512,35925,84762,154422,15118
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1,2006,815,972,644,49,236,15465,18210,37980,47345,19094,107860,3159
SAN,"San Diego, CA: San Diego International",1,2006,465,435,303,44,105,6190,7598,19616,23615,10164,55793,2345
SEA,"Seattle, WA: Seattle/Tacoma International",1,2006,654,728,795,38,142,6039,8423,32940,43663,24221,103481,2342
SFO,"San Francisco, CA: San Francisco International",1,2006,889,533,1205,60,216,7799,10727,42563,35127,58969,140948,4036
SLC,"Salt Lake City, UT: Salt Lake City International",1,2006,795,587,455,109,104,9362,11423,35048,27085,12964,80591,5243
TPA,"Tampa, FL: Tampa International",1,2006,368,450,348,38,29,5113,6353,17643,29198,10617,60161,2612
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2,2006,1352,1427,4880,342,644,21755,30438,91889,84771,234197,433210,21941
BOS,"Boston, MA: Logan International",2,2006,469,661,941,80,501,7259,9921,27935,40964,38536,114990,7381
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,2006,358,628,239,49,178,6450,7916,15878,33836,7593,61268,3684
CLT,"Charlotte, NC: Charlotte Douglas International",2,2006,438,500,470,53,160,7204,8830,17351,26411,12673,59945,3304
DCA,"Washington, DC: Ronald Reagan Washington National",2,2006,351,360,364,58,308,6186,7637,18394,18838,10677,52097,4135
DEN,"Denver, CO: Denver International",2,2006,1147,1148,1423,113,206,12695,16751,61140,71227,49770,189747,7119
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2,2006,824,1920,1824,190,625,17367,22803,61049,116674,62592,252633,12006
DTW,"Detroit, MI: Detroit Metro Wayne County",2,2006,531,517,622,89,188,7331,9292,30019,27633,17941,81457,5676
EWR,"Newark, NJ: Newark Liberty International",2,2006,323,708,2676,144,693,7100,11665,23029,45608,149804,231519,12748
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2,2006,362,439,411,45,94,4371,5732,20025,28213,17401,69260,3504
IAD,"Washington, DC: Washington Dulles International",2,2006,389,560,248,32,283,5539,7078,24596,36910,8615,72634,2253
